"Ticker","Sector","Company","EPS Next Year Estimate Trends","EPS Next Quarter Estimate Trends","EPS Current Year Estimate Trends","EPS Current Quarter Estimate Trends","EPS Revisions","Value Industry Decile","Sentiment Industry Decile","Quality Industry Decile","Profitability Industry Decile","Price / Sales Industry Decile","Price / Free Cash Flow Industry Decile","Growth Industry Decile","Financial Safety Industry Decile","Industry","YTD Return vs S&P 500","1-Day Return vs S&P 500","5-Day Return vs S&P 500","1-Month Return vs S&P 500","3-Month Return vs S&P 500","6-Month Return vs S&P 500","1-Year Return vs S&P 500","2-Year Return vs S&P 500","3-Year Return vs S&P 500","5-Year Return vs S&P 500","10-Year Return vs S&P 500"
"JAZZ","Healthcare","Jazz Pharmaceuticals","25.21;25.22;24.80;24.88;0.00","5.51;5.43;5.54;5.74;0.00","22.71;22.62;21.53;22.44;0.00","4.44;4.34;4.15;4.32;0.00","","1","2","2","2","1","1","1","7","Biotechnology","8.6%","0.5%","-2.2%","12.8%","8.9%","36.0%","14.6%","20.0%","-45.7%","-77.5%","-250.8%"
"VRTX","Healthcare","Vertex Pharmaceuticals","22.48;22.51;22.57;21.90;0.00","4.96;4.97;4.95;4.74;0.00","20.20;20.24;20.16;19.16;0.00","4.83;4.84;4.81;4.40;0.00","","1","9","1","1","3","1","1","4","Biotechnology","2.3%","0.4%","-6.1%","-1.7%","1.9%","10.7%","-24.8%","-24.4%","-16.6%","27.5%","118.9%"
"Summary"," "," "," "," "," "," "," ","1","5","3","2","4","1","2","6"," ","2.4%","1.1%","-1.9%","3.7%","5.9%","101.9%","121.9%","74.3%","263.1%","-32.0%","151.5%"
"Building Products & Equipment (1 Stock)"
"JCI","Industrials","Johnson Controls Intl","5.34;5.34;5.37;5.52;0.00","1.25;1.25;1.27;1.27;0.00","4.59;4.60;4.62;4.75;0.00","1.04;1.04;1.06;1.11;0.00","","6","1","2","2","8","7","3","8","Building Products & Equipment","12.1%","-2.2%","-6.2%","-1.0%","17.9%","20.9%","47.0%","91.5%","41.5%","59.9%","97.5%"
"Summary"," "," "," "," "," "," "," ","6","1","2","2","8","7","3","8"," ","12.1%","-2.2%","-6.2%","-1.0%","17.9%","20.9%","47.0%","91.5%","41.5%","59.9%","97.5%"
"Capital Markets (3 Stocks)"
"MKTX","Financial Services","MarketAxess Holdings","9.15;9.26;9.11;9.10;0.00","2.01;2.00;2.01;2.02;0.00","8.14;8.21;8.20;8.23;0.00","2.07;2.06;2.08;2.13;0.00","","2","4","1","1","7","3","2","4","Capital Markets","4.7%","2.2%","-1.0%","17.9%","13.4%","-4.4%","-27.1%","-43.0%","-120.4%","-148.9%","-236.4%"
"TW","Financial Services","Tradeweb Markets","4.25;4.23;4.28;4.47;0.00","0.95;0.94;0.94;0.97;0.00","3.82;3.82;3.83;3.98;0.00","0.96;0.95;0.94;1.00;0.00","","3","2","1","2","7","3","1","2","Capital Markets","17.5%","1.4%","3.2%","14.0%","17.4%","0.3%","-24.7%","-14.7%","0.8%","-11.2%","- "
"LPLA","Financial Services","LPL Finl Hldgs","29.01;28.72;28.92;29.15;0.00","5.75;5.70;5.75;5.76;0.00","23.69;23.51;23.99;23.94;0.00","5.83;5.76;5.82;5.85;0.00","","3","1","3","2","3","5","1","5","Capital Markets","-10.6%","0.3%","6.5%","-15.7%","-13.8%","-10.2%","-25.3%","-16.6%","-47.6%","52.3%","1247.5%"
"Summary"," "," "," "," "," "," "," ","3","2","2","2","6","4","1","4"," ","3.9%","1.3%","2.9%","5.4%","5.7%","-4.8%","-25.7%","-24.8%","-55.7%","-35.9%","505.6%"
"Communication Equipment (3 Stocks)"
"MSI","Technology","Motorola Solutions","17.89;17.92;17.92;17.92;0.00","3.81;3.81;3.81;3.81;0.00","16.32;16.33;16.33;16.33;0.00","3.26;3.25;3.25;3.25;0.00","","4","9","2","1","9","4","1","9","Communication Equipment","21.7%","0.0%","-2.4%","11.9%","25.1%","-7.8%","-8.8%","4.1%","4.6%","85.8%","361.1%"
"CIEN","Technology","Ciena","5.79;6.89;6.87;6.90;0.00","1.19;1.38;1.38;1.38;0.00","4.38;5.34;5.34;5.34;0.00","1.00;1.21;1.21;1.21;0.00","","5","9","4","4","9","5","1","5","Communication Equipment","27.3%","-0.4%","-13.6%","11.2%","47.5%","147.5%","311.1%","339.5%","404.8%","405.7%","1304.4%"
"LITE","Technology","Lumentum Holdings","7.99;8.18;9.20;14.20;0.00","1.68;1.71;1.81;2.62;0.00","5.64;5.69;5.92;7.59;0.00","1.50;1.52;1.60;2.23;0.00","","7","9","4","2","10","6","3","9","Communication Equipment","53.1%","-12.9%","-18.3%","3.9%","70.1%","269.1%","795.3%","974.3%","877.9%","460.5%","1836.7%"
"Summary"," "," "," "," "," "," "," ","5","9","3","2","9","5","2","8"," ","34.0%","-4.4%","-11.5%","9.0%","47.6%","136.2%","365.8%","439.3%","429.1%","317.3%","1167.4%"
"Computer Hardware (5 Stocks)"
"DELL","Technology","Dell Technologies","12.91;12.91;12.96;12.97;0.00","2.68;2.68;2.68;2.66;0.00","11.45;11.45;11.50;11.48;0.00","2.36;2.36;2.38;2.38;0.00","","2","2","4","6","4","2","1","9","Computer Hardware","18.4%","1.3%","0.9%","23.8%","7.5%","13.7%","41.6%","-7.5%","224.5%","183.7%","- "
"STX","Technology","Seagate Technology Hldgs","14.67;15.15;15.50;19.75;0.00","3.11;3.21;3.23;3.86;0.00","11.36;11.52;11.62;13.01;0.00","2.84;2.91;2.94;3.47;0.00","","5","4","2","1","7","5","1","8","Computer Hardware","29.7%","-2.6%","-11.5%","-15.0%","28.5%","84.0%","296.3%","257.9%","436.1%","377.9%","1197.5%"
"ANET","Technology","Arista Networks","4.07;4.07;4.07;4.24;0.00","0.82;0.82;0.82;0.85;0.00","3.34;3.35;3.35;3.53;0.00","0.76;0.76;0.76;0.81;0.00","","4","2","1","1","8","4","1","2","Computer Hardware","3.0%","-3.3%","1.6%","-0.6%","5.0%","-11.6%","38.7%","51.5%","199.6%","590.7%","2911.4%"
