"Ticker","Sector","Company","EPS Next Year Estimate Trends","EPS Next Quarter Estimate Trends","EPS Current Year Estimate Trends","EPS Current Quarter Estimate Trends","EPS Revisions","Value Industry Decile","Sentiment Industry Decile","Quality Industry Decile","Profitability Industry Decile","Price / Sales Industry Decile","Price / Free Cash Flow Industry Decile","Growth Industry Decile","Financial Safety Industry Decile","Industry","YTD Return vs S&P 500","1-Day Return vs S&P 500","5-Day Return vs S&P 500","1-Month Return vs S&P 500","3-Month Return vs S&P 500","6-Month Return vs S&P 500","1-Year Return vs S&P 500","2-Year Return vs S&P 500","3-Year Return vs S&P 500","5-Year Return vs S&P 500","10-Year Return vs S&P 500"
"PSA","Real Estate","Public Storage","10.87;10.87;10.58;10.52;0.00","2.65;2.65;2.58;2.56;0.00","10.29;10.29;10.08;10.13;0.00","2.45;2.45;2.42;2.42;0.00","","5","7","3","1","9","8","6","6","REIT - Industrial","20.3%","1.7%","2.4%","10.1%","16.1%","1.1%","-14.7%","-17.6%","-59.2%","-25.5%","-214.8%"
"EXR","Real Estate","Extra Space Storage","5.10;5.08;4.95;4.93;0.00","1.20;1.19;1.16;1.18;0.00","4.85;4.81;4.72;4.79;0.00","1.14;1.12;1.09;1.13;0.00","","3","8","7","3","7","6","3","5","REIT - Industrial","14.1%","0.7%","-0.9%","7.5%","16.2%","-2.7%","-19.9%","-24.4%","-73.4%","-44.6%","-144.5%"
"PLD","Real Estate","Prologis","3.32;3.21;3.30;3.35;0.00","0.69;0.69;0.72;0.77;0.00","2.94;2.88;2.91;2.99;0.00","0.65;0.65;0.67;0.75;0.00","","6","7","5","4","10","8","6","3","REIT - Industrial","6.9%","-1.1%","-3.6%","1.0%","7.6%","15.8%","-3.0%","-27.2%","-56.9%","-29.0%","34.1%"
"Summary"," "," "," "," "," "," "," ","5","7","5","3","9","7","5","5"," ","13.8%","0.5%","-0.7%","6.2%","13.3%","4.7%","-12.5%","-23.1%","-63.2%","-33.0%","-108.4%"
"REIT - Residential (5 Stocks)"
"SUI","Real Estate","Sun Communities","3.00;3.00;3.01;3.01;0.00","0.45;0.45;0.45;0.45;0.00","2.77;2.77;2.78;2.78;0.00","0.34;0.34;0.34;0.34;0.00","","7","1","2","1","9","7","7","1","REIT - Residential","11.9%","1.3%","2.2%","11.5%","9.1%","2.5%","-7.8%","-21.0%","-67.1%","-75.4%","-123.0%"
"AVB","Real Estate","AvalonBay Communities","5.67;5.68;5.49;5.22;0.00","1.40;1.38;1.31;1.19;0.00","5.21;5.19;5.13;4.95;0.00","1.33;1.28;1.27;1.21;0.00","","3","4","3","2","9","6","5","3","REIT - Residential","-0.3%","0.6%","2.4%","5.1%","2.5%","-11.8%","-34.5%","-31.9%","-60.0%","-69.5%","-259.8%"
"ESS","Real Estate","Essex Property Trust","6.38;6.38;6.34;6.37;0.00","1.53;1.53;1.53;1.53;0.00","5.97;5.97;5.95;5.92;0.00","1.47;1.47;1.46;1.43;0.00","","3","9","3","2","9","6","5","7","REIT - Residential","0.0%","0.1%","2.0%","1.6%","2.5%","-7.5%","-31.0%","-22.2%","-51.2%","-73.1%","-238.8%"
"MAA","Real Estate","Mid-America Apartment","4.23;4.23;3.95;3.95;0.00","0.88;0.88;0.83;0.82;0.00","3.53;3.55;3.40;3.33;0.00","0.89;0.89;0.86;0.83;0.00","","4","10","5","2","8","7","5","4","REIT - Residential","-1.8%","0.1%","1.2%","3.3%","3.6%","-11.2%","-35.8%","-24.2%","-79.2%","-69.6%","-196.0%"
"CPT","Real Estate","Camden Prop Trust","1.97;1.97;1.97;1.74;0.00","0.35;0.32;0.32;0.00;0.00","1.34;1.25;1.25;1.11;0.00","0.34;0.30;0.30;0.26;0.00","","5","10","3","2","8","8","4","4","REIT - Residential","-1.7%","-0.6%","0.4%","2.7%","5.2%","-7.0%","-28.0%","-18.4%","-71.2%","-65.3%","-199.2%"
"Summary"," "," "," "," "," "," "," ","4","7","3","2","9","7","5","4"," ","1.6%","0.3%","1.6%","4.8%","4.6%","-7.0%","-27.4%","-23.5%","-65.8%","-70.6%","-203.4%"
"REIT - Retail (1 Stock)"
"SPG","Real Estate","Simon Property Group","6.97;7.03;7.03;7.09;0.00","1.66;1.68;1.68;1.66;0.00","6.82;6.88;6.88;6.73;0.00","1.53;1.55;1.55;1.57;0.00","","4","9","1","1","9","8","2","8","REIT - Retail","6.8%","-1.8%","-2.4%","0.4%","9.6%","4.9%","-1.5%","6.0%","11.8%","40.6%","-235.9%"
"Summary"," "," "," "," "," "," "," ","4","9","1","1","9","8","2","8"," ","6.8%","-1.8%","-2.4%","0.4%","9.6%","4.9%","-1.5%","6.0%","11.8%","40.6%","-235.9%"
"Resorts & Casinos (1 Stock)"
"MTN","Consumer Cyclical","Vail Resorts","7.84;7.89;7.92;7.91;0.00","10.33;10.67;10.76;10.75;0.00","6.87;7.00;6.83;6.75;0.00","6.69;6.71;6.63;6.32;0.00","","1","3","4","2","7","6","4","9","Resorts & Casinos","6.0%","0.3%","4.2%","2.9%","-0.7%","-14.0%","-25.2%","-67.9%","-105.8%","-134.1%","-254.9%"
"Summary"," "," "," "," "," "," "," ","1","3","4","2","7","6","4","9"," ","6.0%","0.3%","4.2%","2.9%","-0.7%","-14.0%","-25.2%","-67.9%","-105.8%","-134.1%","-254.9%"
"Restaurants (5 Stocks)"
"DPZ","Consumer Cyclical","Domino's Pizza","21.23;21.24;21.39;21.64;0.00","4.48;4.48;4.44;4.47;0.00","19.58;19.59;19.60;19.87;0.00","4.34;4.34;4.34;4.33;0.00","","3","2","2","4","8","5","3","10","Restaurants","-0.5%","2.8%","3.5%","6.2%","0.1%","-15.8%","-32.4%","-41.3%","-38.4%","-56.2%","-54.9%"
"YUM","Consumer Cyclical","Yum Brands","7.44;7.44;7.47;7.46;0.00","1.57;1.58;1.58;1.59;0.00","6.67;6.66;6.68;6.66;0.00","1.39;1.39;1.39;1.38;0.00","","4","7","1","4","9","6","2","8","Restaurants","7.8%","2.2%","-2.8%","1.4%","12.5%","7.1%","-16.4%","-16.1%","-42.1%","-19.7%","-52.1%"
"MCD","Consumer Cyclical","McDonald's","14.36;14.37;14.43;14.32;0.00","3.46;3.47;3.47;3.43;0.00","13.22;13.23;13.27;13.20;0.00","2.85;2.85;2.86;2.76;0.00","","4","5","1","6","9","6","3","8","Restaurants","9.5%","1.5%","-1.3%","3.6%","7.6%","1.0%","-10.7%","-17.9%","-43.3%","-10.7%","-41.5%"
"DRI","Consumer Cyclical","Darden Restaurants","11.39;11.38;11.39;11.40;0.00","3.54;3.53;3.58;3.58;0.00","10.62;10.60;10.58;10.58;0.00","3.00;2.99;2.95;2.95;0.00","","3","4","3","1","7","6","4","7","Restaurants","12.8%","-0.1%","-3.0%","-3.3%","16.8%","-6.4%","-10.0%","-12.1%","-22.1%","-18.1%","19.0%"
"WING","Consumer Cyclical","Wingstop","6.22;6.17;6.11;5.95;0.00","1.19;1.18;1.17;1.13;0.00","4.83;4.81;4.77;4.69;0.00","1.12;1.11;1.12;1.07;0.00","","6","10","1","4","9","7","1","10","Restaurants","-2.2%","-1.6%","-9.6%","-10.3%","-9.3%","-30.4%","-13.3%","-72.7%","-39.0%","13.2%","833.0%"
"Summary"," "," "," "," "," "," "," ","4","6","2","4","8","6","3","9"," ","5.5%","0.9%","-2.6%","-0.5%","5.5%","-8.9%","-16.6%","-32.0%","-37.0%","-18.3%","140.7%"
"Scientific & Technical Instruments (3 Stocks)"
"GRMN","Technology","Garmin","9.45;9.45;9.45;9.45;0.00","2.23;2.21;2.21;2.21;0.00","8.77;8.72;8.72;8.72;0.00","1.72;1.72;1.72;1.72;0.00","","2","7","3","1","7","4","1","1","Scientific & Technical Instruments","21.6%","2.7%","-1.7%","23.1%","21.7%","-1.2%","-7.3%","44.6%","89.7%","33.7%","390.4%"
"KEYS","Technology","Keysight Techs","9.23;9.27;9.28;9.29;0.00","1.99;1.99;2.00;2.00;0.00","8.12;8.10;8.10;8.11;0.00","1.90;1.90;1.91;1.91;0.00","","4","2","2","2","7","4","3","6","Scientific & Technical Instruments","35.6%","-2.9%","-9.3%","20.7%","31.0%","57.7%","57.5%","38.1%","-2.3%","14.3%","602.9%"
"COHR","Technology","Coherent","6.34;6.34;6.46;7.35;0.00","1.41;1.41;1.43;1.52;0.00","5.06;5.06;5.10;5.35;0.00","1.31;1.31;1.32;1.39;0.00","","5","7","6","6","7","6","1","6","Scientific & Technical Instruments","29.3%","-5.8%","-6.9%","6.3%","31.3%","136.3%","243.6%","228.9%","377.9%","128.0%","708.2%"
"Summary"," "," "," "," "," "," "," ","4","5","4","3","7","5","2","4"," ","28.8%","-2.0%","-6.0%","16.7%","28.0%","64.3%","97.9%","103.8%","155.1%","58.6%","567.2%"
"Semiconductors (7 Stocks)"
"SLAB","Technology","Silicon Laboratories","4.03;4.03;4.03;4.03;0.00","0.66;0.66;0.66;0.66;0.00","2.69;2.69;2.69;2.71;0.00","0.50;0.50;0.50;0.50;0.00","","6","3","6","7","6","5","8","2","Semiconductors","56.6%","1.0%","1.1%","0.9%","44.8%","45.0%","31.2%","2.4%","-58.6%","-49.1%","56.0%"
"AVGO","Technology","Broadcom","12.71;14.00;14.36;14.52;0.00","2.55;2.78;2.84;2.87;0.00","9.33;10.11;10.30;10.32;0.00","2.03;2.13;2.15;2.16;0.00","","5","1","2","2","8","4","1","7","Semiconductors","-3.0%","0.6%","5.4%","2.0%","-13.5%","-5.5%","67.0%","115.0%","372.9%","628.1%","2520.8%"
"NVDA","Technology","NVIDIA","9.54;9.70;9.90;10.63;0.00","1.79;1.80;1.81;1.85;0.00","7.49;7.57;7.66;8.23;0.00","1.64;1.65;1.65;1.68;0.00","","4","2","1","1","8","3","1","3","Semiconductors","-3.1%","-1.7%","2.4%","-1.3%","-0.9%","1.9%","42.0%","65.3%","582.5%","1243.0%","21916.9%"
"AMD","Technology","Advanced Micro Devices","10.12;10.19;10.31;10.65;0.00","1.35;1.35;1.37;1.42;0.00","6.44;6.46;6.61;6.62;0.00","1.20;1.20;1.22;1.27;0.00","","5","4","3","3","7","3","1","3","Semiconductors","-8.6%","-2.2%","-1.9%","-4.9%","-10.1%","22.7%","75.8%","-43.9%","63.9%","57.1%","7721.5%"
"TSM","Technology","Taiwan Semiconductor","15.63;15.63;16.45;18.00;0.00","2.98;2.98;3.19;3.45;0.00","12.66;12.74;13.26;14.31;0.00","2.73;2.75;2.94;3.29;0.00","","3","8","1","1","8","4","1","5","Semiconductors","13.1%","-2.9%","-7.5%","-0.1%","16.9%","35.4%","76.4%","110.7%","223.0%","116.8%","1386.6%"
"CRDO","Technology","Credo Technology Group","3.64;3.73;3.80;4.40;0.00","0.82;0.84;0.86;1.02;0.00","2.78;2.78;2.79;3.12;0.00","0.81;0.81;0.82;0.98;0.00","","6","4","3","2","8","4","1","1","Semiconductors","-22.1%","-2.9%","-0.1%","1.4%","-36.0%","-26.6%","142.2%","368.5%","908.9%","- ","- "
"MU","Technology","Micron Technology","20.43;39.37;43.54;44.55;0.00","4.49;9.10;9.47;9.77;0.00","17.05;32.21;33.22;33.92;0.00","3.95;8.04;8.06;8.47;0.00","","5","3","1","2","7","5","1","4","Semiconductors","31.3%","-5.4%","-8.2%","-3.4%","57.8%","177.6%","297.3%","255.1%","487.9%","238.8%","2796.7%"
"Summary"," "," "," "," "," "," "," ","5","4","2","3","7","4","2","4"," ","9.2%","-1.9%","-1.3%","-0.8%","8.4%","35.8%","104.6%","124.7%","368.6%","372.4%","6066.4%"
"Semiconductor Equipment & Materials (2 Stocks)"
"AMAT","Technology","Applied Materials","11.30;11.46;11.82;13.64;0.00","2.36;2.38;2.41;2.87;0.00","9.46;9.50;9.63;11.07;0.00","2.25;2.25;2.28;2.68;0.00","","4","8","1","1","7","3","5","6","Semiconductor Equipment & Materials","28.1%","-5.0%","-10.8%","3.6%","22.9%","95.6%","97.4%","20.4%","107.9%","110.7%","1475.7%"
"TER","Technology","Teradyne","6.47;6.52;8.01;8.03;0.00","1.20;1.21;1.93;1.94;0.00","5.11;5.13;6.24;6.27;0.00","1.21;1.21;2.11;2.11;0.00","","5","4","2","3","9","6","5","4","Semiconductor Equipment & Materials","42.7%","-9.3%","-12.7%","-6.2%","37.7%","122.8%","141.2%","122.5%","98.7%","56.6%","1073.9%"
"Summary"," "," "," "," "," "," "," ","5","6","2","2","8","5","5","5"," ","35.4%","-7.1%","-11.7%","-1.3%","30.3%","109.2%","119.3%","71.4%","103.3%","83.6%","1274.8%"
"Software - Application (24 Stocks)"
"GWRE","Technology","Guidewire Software","3.85;3.86;3.86;3.86;0.00","0.68;0.64;0.64;0.64;0.00","2.98;2.95;2.95;2.95;0.00","0.75;0.75;0.77;0.77;0.00","","4","3","3","3","8","5","5","5","Software - Application","-14.4%","6.3%","18.2%","34.5%","-18.2%","-39.8%","-28.5%","11.2%","62.9%","-22.1%","-80.0%"
"MANH","Technology","Manhattan Associates","5.97;5.94;5.89;5.84;0.00","1.38;1.37;1.36;1.31;0.00","5.39;5.36;5.31;5.22;0.00","1.25;1.24;1.12;1.12;0.00","","2","4","2","1","7","4","2","5","Software - Application","-10.5%","5.1%","14.6%","7.9%","-13.5%","-33.7%","-28.6%","-75.4%","-68.7%","-58.8%","-136.9%"
"PCTY","Technology","Paylocity Holding","8.14;8.14;8.16;8.22;0.00","1.61;1.61;1.61;1.62;0.00","7.43;7.43;7.46;7.50;0.00","2.50;2.50;2.51;2.52;0.00","","1","4","3","2","6","3","1","6","Software - Application","-19.7%","4.9%","14.8%","4.7%","-16.4%","-35.7%","-55.9%","-63.1%","-110.4%","-119.3%","-17.4%"
"NOW","Technology","ServiceNow","4.87;4.88;5.01;5.01;0.00","0.95;0.95;0.96;0.96;0.00","4.07;4.08;4.16;4.16;0.00","0.95;0.95;0.97;0.97;0.00","","3","3","1","3","8","4","1","4","Software - Application","-17.3%","4.6%","17.1%","26.2%","-25.6%","-36.5%","-47.1%","-51.4%","-33.8%","-60.3%","664.8%"
"INTU","Technology","Intuit","26.40;26.40;26.45;26.43;0.00","3.15;3.15;3.15;3.15;0.00","23.20;23.20;23.21;23.20;0.00","12.97;12.97;12.98;12.97;0.00","","2","3","1","2","7","3","1","5","Software - Application","-25.7%","4.4%","19.7%","11.2%","-26.8%","-32.8%","-38.9%","-60.3%","-54.3%","-58.0%","126.2%"
"DDOG","Technology","Datadog","2.88;2.88;2.87;2.64;0.00","0.54;0.54;0.54;0.50;0.00","2.34;2.34;2.34;2.17;0.00","0.52;0.52;0.52;0.51;0.00","","5","1","3","4","8","5","1","4","Software - Application","-6.0%","4.1%","14.3%","15.4%","-15.3%","-12.2%","-6.0%","-34.4%","-9.0%","-35.0%","- "
"WDAY","Technology","Workday","13.01;13.04;13.04;12.49;0.00","2.63;2.63;2.63;2.62;0.00","10.71;10.73;10.73;10.52;0.00","2.52;2.53;2.53;2.52;0.00","","2","6","3","3","6","2","1","5","Software - Application","-28.1%","4.0%","14.9%","-4.5%","-29.7%","-39.2%","-59.3%","-78.7%","-93.2%","-124.3%","-191.3%"
"PAYX","Technology","Paychex","5.90;5.91;5.91;5.91;0.00","1.34;1.34;1.33;1.33;0.00","5.46;5.49;5.49;5.49;0.00","1.66;1.67;1.67;1.67;0.00","","1","4","1","1","7","3","2","7","Software - Application","-7.6%","3.8%","9.7%","5.1%","-7.5%","-28.6%","-49.2%","-46.3%","-75.2%","-61.5%","-138.1%"
"TYL","Technology","Tyler Technologies","14.32;14.25;14.34;14.19;0.00","3.18;3.18;3.18;3.19;0.00","12.57;12.53;12.56;12.54;0.00","3.01;3.00;3.01;3.00;0.00","","2","4","2","3","7","4","1","3","Software - Application","-15.9%","3.7%","7.6%","10.3%","-18.6%","-37.7%","-57.1%","-46.1%","-56.2%","-94.6%","-94.7%"
"HUBS","Technology","HubSpot","14.13;14.16;14.09;15.19;0.00","2.68;2.68;2.67;2.86;0.00","11.46;11.47;11.46;12.45;0.00","2.34;2.35;2.35;2.47;0.00","","2","4","3","4","6","4","3","4","Software - Application","-24.6%","3.1%","14.1%","30.3%","-20.3%","-43.8%","-73.4%","-86.7%","-99.2%","-123.3%","280.1%"
"SNOW","Technology","Snowflake","2.27;2.25;2.26;2.37;0.00","0.40;0.40;0.40;0.40;0.00","1.64;1.63;1.63;1.75;0.00","0.34;0.33;0.33;0.34;0.00","","3","2","7","8","8","5","5","7","Software - Application","-16.2%","3.0%","9.2%","9.9%","-19.5%","-24.6%","-3.3%","-27.2%","-46.2%","-112.7%","- "
"ADP","Technology","Automatic Data Processing","11.94;11.95;11.96;11.96;0.00","2.58;2.58;2.57;2.56;0.00","10.91;10.91;10.97;10.97;0.00","3.27;3.27;3.28;3.30;0.00","","1","4","1","2","6","3","2","7","Software - Application","-10.5%","2.9%","7.6%","0.6%","-11.4%","-27.2%","-42.4%","-38.4%","-66.0%","-47.2%","-72.4%"
"SAP","Technology","SAP","10.21;10.21;10.26;10.13;0.00","1.97;1.97;1.98;2.04;0.00","8.44;8.45;8.48;8.59;0.00","1.89;1.90;1.90;1.94;0.00","","2","4","1","2","7","4","2","3","Software - Application","-15.2%","2.7%","2.4%","2.2%","-16.6%","-29.4%","-45.8%","-26.9%","2.3%","-10.4%","-92.4%"
"PAYC","Technology","Paycom Software","11.26;11.23;11.18;11.30;0.00","2.24;2.24;2.23;2.24;0.00","10.08;10.07;10.05;10.23;0.00","2.96;2.97;2.95;2.94;0.00","","1","5","1","2","6","3","1","5","Software - Application","-11.9%","2.3%","11.7%","8.2%","-15.1%","-42.9%","-50.6%","-55.8%","-125.1%","-150.5%","32.5%"
"ADBE","Technology","Adobe","26.12;26.33;26.38;26.40;0.00","5.75;5.68;5.68;5.68;0.00","23.35;23.46;23.46;23.47;0.00","5.67;5.87;5.87;5.87;0.00","","1","4","1","1","6","2","1","6","Software - Application","-17.4%","2.0%","10.1%","8.5%","-16.5%","-23.3%","-55.1%","-83.1%","-91.5%","-123.6%","-68.8%"
"ROP","Technology","Roper Technologies","23.55;23.55;23.67;23.45;0.00","5.34;5.34;5.34;5.35;0.00","21.62;21.62;21.67;21.61;0.00","5.17;5.18;5.18;5.18;0.00","","1","4","2","3","6","2","1","5","Software - Application","-15.7%","1.7%","7.1%","4.2%","-16.1%","-33.4%","-55.9%","-66.4%","-86.0%","-87.6%","-171.8%"
"CRM","Technology","Salesforce","14.89;15.01;14.98;14.91;0.00","3.24;3.25;3.24;3.24;0.00","13.02;13.13;13.12;13.21;0.00","3.01;3.01;3.01;3.12;0.00","","2","4","3","3","6","2","1","5","Software - Application","-22.2%","1.7%","5.8%","8.4%","-20.7%","-23.7%","-47.7%","-68.0%","-61.9%","-90.9%","-110.0%"
"NICE","Technology","NICE","12.54;12.54;12.47;12.46;0.00","2.67;2.67;2.67;2.66;0.00","10.99;10.99;10.98;10.95;0.00","2.62;2.62;2.62;2.61;0.00","","1","3","3","2","5","2","2","2","Software - Application","14.4%","0.9%","11.7%","16.8%","21.7%","-13.8%","-31.9%","-81.5%","-113.1%","-130.4%","-190.6%"
"PTC","Technology","PTC","8.68;8.68;8.66;8.71;0.00","1.85;1.84;1.83;1.76;0.00","7.84;7.84;7.84;8.12;0.00","1.98;1.97;1.97;2.19;0.00","","2","3","1","2","7","3","1","5","Software - Application","-5.1%","0.4%","5.9%","7.3%","-4.6%","-28.5%","-17.5%","-46.3%","-42.7%","-58.3%","107.7%"
"CDNS","Technology","Cadence Design Systems","9.29;9.23;9.23;9.34;0.00","1.92;1.92;1.92;1.83;0.00","5.41;5.35;5.35;4.85;0.00","1.81;1.81;1.81;1.89;0.00","","3","3","1","2","8","5","1","5","Software - Application","-3.5%","0.4%","0.5%","7.5%","-10.4%","-20.0%","3.3%","-40.3%","-22.8%","46.4%","933.6%"
"CVLT","Technology","CommVault Systems","4.52;4.53;4.53;4.53;0.00","1.02;1.02;1.02;1.02;0.00","3.91;3.91;3.91;3.91;0.00","1.00;1.00;1.00;1.00;0.00","","3","5","3","2","5","3","1","8","Software - Application","-29.0%","0.2%","4.3%","3.9%","-26.5%","-56.0%","-63.7%","-47.8%","-25.2%","-48.2%","-172.7%"
"ADSK","Technology","Autodesk","13.27;13.36;13.49;13.47;0.00","2.87;2.87;2.87;2.85;0.00","11.56;11.59;11.64;11.65;0.00","2.59;2.59;2.59;2.60;0.00","","2","2","3","1","7","4","1","7","Software - Application","-10.3%","0.1%","8.2%","11.3%","-13.3%","-24.6%","-18.6%","-31.4%","-47.9%","-90.4%","66.1%"
"SHOP","Technology","Shopify","1.90;1.94;1.90;1.90;0.00","0.33;0.34;0.32;0.32;0.00","1.52;1.53;1.50;1.49;0.00","0.28;0.28;0.26;0.26;0.00","","5","3","4","3","8","5","1","1","Software - Application","-17.6%","-2.1%","9.9%","19.0%","-17.6%","-15.9%","8.2%","40.6%","126.2%","-72.9%","4777.0%"
"MSTR","Technology","Strategy","51.41;51.41;43.12;43.12;0.00","3.65;4.90;11.16;24.40;0.00","31.04;41.90;62.06;72.17;0.00","1.39;1.88;14.63;-15.66;0.00","","10","6","5","6","9","9","9","3","Software - Application","-10.6%","-3.2%","5.1%","1.7%","-23.8%","-64.8%","-74.9%","-28.2%","389.1%","27.3%","392.3%"
"Summary"," "," "," "," "," "," "," ","3","4","2","3","7","4","2","5"," ","-14.2%","2.4%","10.2%","10.4%","-15.9%","-32.0%","-39.2%","-47.2%","-31.2%","-71.1%","265.6%"
"Software - Infrastructure (15 Stocks)"
"PLTR","Technology","Palantir Technologies","1.42;1.42;1.41;1.83;0.00","0.23;0.23;0.23;0.30;0.00","1.01;1.01;1.01;1.32;0.00","0.21;0.21;0.21;0.28;0.00","","4","2","2","1","8","5","2","2","Software - Infrastructure","-10.0%","4.3%","16.6%","18.4%","-11.9%","-1.9%","76.5%","465.5%","1724.9%","468.2%","- "
"VRSN","Technology","VeriSign","10.13;10.13;10.13;10.12;0.00","2.34;2.34;2.34;2.31;0.00","9.67;9.49;9.53;9.31;0.00","2.28;2.28;2.28;2.24;0.00","","2","3","5","3","7","3","2","9","Software - Infrastructure","2.3%","3.5%","9.0%","11.9%","-0.3%","-17.0%","-16.0%","-6.3%","-49.7%","-60.6%","-121.0%"
"TWLO","Technology","Twilio","6.35;6.36;6.31;6.39;0.00","1.30;1.30;1.30;1.29;0.00","5.43;5.46;5.45;5.42;0.00","1.24;1.24;1.24;1.27;0.00","","2","2","5","4","5","3","4","3","Software - Infrastructure","-8.4%","3.4%","7.9%","14.1%","2.2%","13.2%","-1.2%","83.3%","0.1%","-150.0%","- "
"NET","Technology","Cloudflare","1.51;1.51;1.51;1.44;0.00","0.28;0.28;0.28;0.27;0.00","1.18;1.18;1.18;1.13;0.00","0.25;0.25;0.26;0.23;0.00","","3","1","5","6","8","5","3","7","Software - Infrastructure","0.6%","2.8%","15.4%","15.5%","-1.3%","-13.6%","30.1%","64.9%","151.6%","103.2%","- "
"ZS","Technology","Zscaler","4.48;4.49;4.49;4.55;0.00","1.01;1.01;1.01;1.03;0.00","3.82;3.82;3.82;4.03;0.00","0.95;0.95;0.95;1.01;0.00","","3","1","4","6","7","4","3","5","Software - Infrastructure","-25.5%","2.6%","13.6%","0.8%","-30.8%","-44.7%","-37.7%","-54.3%","-36.3%","-94.4%","- "
"PANW","Technology","Palo Alto Networks","2.37;2.37;2.37;2.24;0.00","0.57;0.57;0.57;0.52;0.00","3.85;3.85;3.85;3.70;0.00","0.92;0.92;0.92;0.80;0.00","","3","1","2","2","7","4","1","4","Software - Infrastructure","-8.9%","2.5%","12.9%","6.4%","-15.4%","-19.7%","-26.8%","-16.9%","2.5%","107.9%","258.0%"
"FFIV","Technology","F5","16.20;16.20;16.20;16.30;0.00","3.84;3.84;3.84;3.88;0.00","15.03;15.03;15.03;15.13;0.00","3.38;3.38;3.38;3.39;0.00","","1","1","2","1","6","3","2","3","Software - Infrastructure","13.7%","2.2%","7.5%","6.3%","17.0%","-14.0%","-15.0%","14.9%","23.9%","-37.7%","-111.1%"
"GDDY","Technology","GoDaddy","8.85;8.91;8.82;8.82;0.00","1.71;1.71;1.71;1.71;0.00","7.20;7.16;7.19;7.19;0.00","1.58;1.58;1.58;1.58;0.00","","1","6","1","1","4","1","2","8","Software - Infrastructure","-22.7%","2.2%","9.8%","-0.6%","-25.3%","-39.9%","-64.2%","-49.6%","-49.4%","-63.9%","-104.6%"
"CRWD","Technology","CrowdStrike Holdings","6.18;6.18;6.18;6.17;0.00","1.16;1.16;1.16;1.16;0.00","4.83;4.83;4.83;4.84;0.00","1.06;1.07;1.06;1.07;0.00","","4","1","4","6","8","4","3","4","Software - Infrastructure","-6.9%","2.0%","17.3%","11.2%","-14.6%","-1.9%","4.5%","-5.1%","163.0%","46.3%","- "
"CHKP","Technology","Check Point Software","11.68;11.72;11.70;11.54;0.00","2.53;2.53;2.52;2.54;0.00","10.55;10.56;10.49;10.45;0.00","2.38;2.37;2.37;2.40;0.00","","1","2","1","1","6","2","2","2","Software - Infrastructure","-9.4%","1.8%","10.7%","-5.9%","-12.8%","-19.0%","-44.9%","-30.6%","-42.7%","-43.4%","-202.0%"
"MSFT","Technology","Microsoft","18.53;18.54;19.04;19.02;0.00","4.17;4.18;4.17;4.26;0.00","15.63;15.68;17.20;17.20;0.00","3.90;3.91;3.90;4.09;0.00","","2","3","1","1","7","4","1","4","Software - Infrastructure","-13.7%","0.9%","6.2%","5.0%","-13.6%","-21.6%","-15.0%","-32.0%","-10.2%","-4.0%","495.4%"
"NTAP","Technology","NetApp","8.55;8.55;8.53;8.44;0.00","1.86;1.86;1.87;1.86;0.00","7.89;7.90;7.91;7.90;0.00","2.25;2.25;2.24;2.24;0.00","","1","1","1","1","5","2","2","7","Software - Infrastructure","-3.6%","0.3%","4.1%","0.6%","-11.8%","-18.7%","-6.5%","-35.1%","-8.2%","-2.5%","102.4%"
"SNPS","Technology","Synopsys","17.39;16.93;16.89;17.00;0.00","3.54;3.72;3.72;3.72;0.00","14.10;14.39;14.38;14.38;0.00","3.16;3.08;3.08;3.08;0.00","","3","3","2","4","7","4","1","4","Software - Infrastructure","-5.3%","0.2%","7.7%","5.2%","-4.7%","-31.5%","-20.7%","-59.4%","-54.6%","4.0%","548.4%"
"ORCL","Technology","Oracle","8.00;7.95;7.91;7.92;0.00","2.00;1.97;1.95;1.95;0.00","6.82;7.37;7.37;7.34;0.00","1.71;1.71;1.71;1.71;0.00","","3","3","2","1","6","6","1","8","Software - Infrastructure","-19.8%","0.2%","7.2%","9.9%","-27.9%","-38.6%","-16.5%","3.8%","3.5%","46.1%","71.0%"
"CPAY","Technology","Corpay","28.91;28.90;28.79;28.64;0.00","6.11;6.10;6.06;6.05;0.00","24.92;24.89;24.81;24.73;0.00","5.51;5.48;5.45;5.46;0.00","","1","5","2","2","6","2","1","7","Software - Infrastructure","6.0%","-1.7%","-1.3%","-8.5%","2.8%","-5.3%","-27.1%","-25.1%","-24.8%","-76.6%","-170.1%"
"Summary"," "," "," "," "," "," "," ","2","2","3","3","7","4","2","5"," ","-7.5%","1.8%","9.6%","6.0%","-9.9%","-18.3%","-12.0%","21.2%","119.6%","16.2%","76.6%"
"Specialty Business Services (3 Stocks)"
"TRI","Industrials","Thomson Reuters","4.97;4.97;5.00;5.03;0.00","1.00;1.00;1.00;1.01;0.00","4.45;4.45;4.44;4.41;0.00","1.24;1.24;1.24;1.19;0.00","","6","4","1","2","8","5","5","2","Specialty Business Services","-13.3%","3.2%","17.6%","30.3%","-14.2%","-40.0%","-54.0%","-62.2%","-77.5%","-48.6%","-56.6%"
